site,plot,quad,ind,uniqueID,emerg.date,date.1,phen.1,stem.diam.1,height.1,total.branch.1,longest.leaf.1,buds_06-30-18,flrs_06-30-18,fruits_06-30-18,longest.fruit.1,canopy.width.largest.rosette.1,date.3,phen.3,stem.diam.3,height.3,total.branch.3,longest.leaf.3,buds_07-18-18,flrs_07-18-18,fruits_07-18-18,longest.fruit.3,date.5,phen.5,stem.diam.5,height.5,total.branch.5,longest.leaf.5,buds_08-05-18,flrs_08-05-18,fruits_08-05-18,longest.fruit.5,date.7,phen.7,height.7,total.branch.7,longest.leaf.7,buds_08-27-18,flrs_08-27-18,fruits_08-27-18,longest.fruit.7
LV1,1,NA,1,LV1 P1 QNA #1,2017,6/30/18,V,NA,4.1,2,0.5,0,0,0,NA,1.1,7/18/18,F,NA,8.6,2,NA,16,1,0,NA,8/5/18,B,3.22,4.6,4,NA,10,0,0,NA,8/27/18,F,3,3,NA,6,2,0,NA
LV1,1,NA,1-1,LV1 P1 QNA #1-1,2017,6/30/18,V,NA,1.2,1,1,0,0,0,NA,1.9,7/18/18,F,NA,3.1,1,NA,9,3,0,NA,8/5/18,B,2.34,3.5,3,NA,16,0,0,NA,8/27/18,X,NA,NA,NA,0,0,0,NA
LV1,1,NA,1-2,LV1 P1 QNA #1-2,2017,6/30/18,D,NA,NA,NA,NA,0,0,0,NA,NA,7/18/18,NA,NA,NA,NA,NA,0,0,0,NA,8/5/18,NA,NA,NA,NA,NA,0,0,0,NA,8/27/18,NA,NA,NA,NA,0,0,0,NA
LV1,1,NA,2,LV1 P1 QNA #2,2017,6/30/18,D,NA,NA,NA,NA,0,0,0,NA,NA,7/18/18,NA,NA,NA,NA,NA,0,0,0,NA,8/5/18,NA,NA,NA,NA,NA,0,0,0,NA,8/27/18,NA,NA,NA,NA,0,0,0,NA
LV1,1,NA,3,LV1 P1 QNA #3,2017,6/30/18,D,NA,NA,NA,NA,0,0,0,NA,NA,7/18/18,NA,NA,NA,NA,NA,0,0,0,NA,8/5/18,NA,NA,NA,NA,NA,0,0,0,NA,8/27/18,NA,NA,NA,NA,0,0,0,NA
LV1,1,NA,4,LV1 P1 QNA #4,2017,6/30/18,D,NA,NA,NA,NA,0,0,0,NA,NA,7/18/18,NA,NA,NA,NA,NA,0,0,0,NA,8/5/18,NA,NA,NA,NA,NA,0,0,0,NA,8/27/18,NA,NA,NA,NA,0,0,0,NA
LV1,1,NA,5,LV1 P1 QNA #5,2017,6/30/18,D,NA,NA,NA,NA,0,0,0,NA,NA,7/18/18,NA,NA,NA,NA,NA,0,0,0,NA,8/5/18,NA,NA,NA,NA,NA,0,0,0,NA,8/27/18,NA,NA,NA,NA,0,0,0,NA
LV1,1,NA,6,LV1 P1 QNA #6,2017,6/30/18,D,NA,NA,NA,NA,0,0,0,NA,NA,7/18/18,NA,NA,NA,NA,NA,0,0,0,NA,8/5/18,NA,NA,NA,NA,NA,0,0,0,NA,8/27/18,NA,NA,NA,NA,0,0,0,NA
LV1,1,NA,6-1,LV1 P1 QNA #6-1,2017,6/30/18,D,NA,NA,NA,NA,0,0,0,NA,NA,7/18/18,NA,NA,NA,NA,NA,0,0,0,NA,8/5/18,NA,NA,NA,NA,NA,0,0,0,NA,8/27/18,NA,NA,NA,NA,0,0,0,NA
LV1,1,NA,7,LV1 P1 QNA #7,2017,6/30/18,D,NA,NA,NA,NA,0,0,0,NA,NA,7/18/18,NA,NA,NA,NA,NA,0,0,0,NA,8/5/18,NA,NA,NA,NA,NA,0,0,0,NA,8/27/18,NA,NA,NA,NA,0,0,0,NA
