uniqueID.2,date_10.07.2018,phen_10.07.2018,height_10.07.2018,total.branch_10.07.2018,longest.leaf_10.07.2018,buds_10.07.2018,flrs_10.07.2018,fruits_10.07.2018,herb_10.07.2018
LV1 P1 QNA #1,7/10/18,B,4.1,2,NA,9,NA,NA,0
LV1 P1 QNA #1-1,7/10/18,B,2.4,1,NA,10,NA,NA,0
LV1 P1 QNA #13-1,7/10/18,F,11.9,1,NA,11,3,NA,0
LV1 P1 QNA #13-2,7/10/18,V,2.1,1,1,NA,NA,NA,0
LV1 P1 QNA #19-1,7/10/18,F,12.6,2,NA,25,2,NA,0
LV1 P1 QNA #19-1-1,7/10/18,V,1.8,1,0.8,NA,NA,NA,0
LV1 P1 QNA #19-1-2,7/10/18,B,5.7,1,NA,8,NA,NA,0
LV1 P1 QNA #19-1-3,7/10/18,B,4.2,1,0.6,4,NA,NA,1
LV1 P1 QNA #19-1-4,7/10/18,V,1.8,1,NA,NA,NA,NA,0
LV1 P1 QNA #19-1-5,7/10/18,B,2.3,1,1,5,NA,NA,0
LV1 P1 QNA #19-2,7/10/18,F,11.4,4,NA,37,1,NA,0
LV1 P1 QNA #19-3,7/10/18,V,2.2,1,1.1,NA,NA,NA,0
LV1 P1 QNA #19-4,7/10/18,B,9.3,1,NA,11,NA,NA,0
LV1 P1 QNA #19-5,7/10/18,V,1.6,1,NA,NA,NA,NA,0
LV1 P1 QNA #19-6,7/10/18,F,12.5,1,NA,13,3,NA,0
LV1 P1 QNA #19-7,7/10/18,B,13.7,1,NA,14,NA,NA,0
LV1 P1 QNA #21-1,7/10/18,F,12.3,1,NA,12,2,NA,0
LV1 P1 QNA #23-2,7/10/18,F,10.3,1,NA,12,3,NA,0
LV1 P1 QNA #23-3,7/10/18,B,8.4,1,NA,10,NA,NA,0
LV1 P1 QNA #24-5,7/10/18,F,16.1,2,NA,21,6,NA,0
LV1 P1 QNA #24-1-1,7/10/18,F,11.6,1,NA,11,3,NA,0
LV1 P1 QNA #24-1-2,7/10/18,F,9.6,2,NA,15,1,NA,0
LV1 P1 QNA #24-1-3,7/10/18,F,12.5,6,NA,34,3,NA,0
LV1 P1 QNA #24-1-4,7/10/18,F,10.1,1,NA,10,1,NA,0
LV1 P1 QNA #24-1-6,7/10/18,B,10.4,1,NA,13,NA,NA,0
LV1 P1 QNA #24-6,7/10/18,B,9.3,3,NA,25,NA,NA,0
LV1 P1 QNA #38-2,7/10/18,V,2.2,1,1.2,NA,NA,NA,1
LV1 P1 QNA #38-3,7/10/18,V,1.8,1,1.4,NA,NA,NA,1
LV1 P1 QNA #38-4,7/10/18,B,7.6,1,NA,14,NA,NA,0
LV1 P1 QNA #38-5,7/10/18,B,8,1,NA,10,NA,NA,0
LV1 P1 QNA #38-6,7/10/18,B,8.1,1,NA,11,NA,NA,0
LV1 P1 QNA #38-7,7/10/18,B,6.9,1,NA,11,NA,NA,0
LV1 P1 QNA #38-8,7/10/18,B,7.8,1,NA,11,NA,NA,0
LV1 P1 QNA #38-9,7/10/18,B,4.7,1,NA,10,NA,NA,0
LV1 P1 QNA #40-1,7/10/18,V,1.7,1,0.7,NA,NA,NA,0
LV1 P1 QNA #40-2,7/10/18,V,2.6,1,0.4,NA,NA,NA,0
LV1 P1 QNA #43-1,7/10/18,B,5.7,1,NA,11,NA,NA,0
LV1 P1 QNA #43-2,7/10/18,B,6.6,1,NA,13,NA,NA,0
LV1 P1 QNA #43-2-1,7/10/18,B,5.1,1,NA,13,NA,NA,1
LV1 P1 QNA #43-3,7/10/18,B,3.4,1,NA,7,NA,NA,1
LV1 P2 QNA #0-1,7/10/18,D,NA,NA,NA,NA,NA,NA,0
LV1 P2 QNA #0-11,7/10/18,B,3.7,2,NA,14,NA,NA,0
LV1 P2 QNA #0-12,7/10/18,V,3.3,2,0.5,NA,NA,NA,1
LV1 P2 QNA #0-12-1,7/10/18,B,1.5,1,NA,5,NA,NA,0
LV1 P2 QNA #0-2,7/10/18,D,NA,NA,NA,NA,NA,NA,0
LV1 P2 QNA #0-3,7/10/18,D,NA,NA,NA,NA,NA,NA,0
LV1 P2 QNA #0-4,7/10/18,V,4.5,3,1.8,NA,NA,NA,0
