"","uniqueID","site","plot","quad","ind","year","elevation","date","jday","meltdate","jmeltdate","branchdamage","buds","canopywidth","flrs","fruits","height","herb","longestfruit","longestleaf","phen","stemdiam","totalbranch","herb1","herb2","anyherb","buds1"
"1","LVTR2.5 PNA QNA #1","LVTR2.5","NA","NA","1",2017,2853,2017-08-08,220,NA,NA,NA,NA,NA,NA,5,"18",NA,"6.3",NA,"SX","2.28",1,0,0,0,NA
"2","LVTR2.5 PNA QNA #2","LVTR2.5","NA","NA","2",2017,2853,2017-08-08,220,NA,NA,NA,NA,NA,2,6,"14",NA,"4.4",NA,"F","1.49",2,0,0,0,NA
"3","LVTR2.5 PNA QNA #3","LVTR2.5","NA","NA","3",2017,2853,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"1.1","V","2.46",2,0,0,0,NA
"4","LVTR2.5 PNA QNA #4","LVTR2.5","NA","NA","4",2017,2853,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,"0.9","V","1.1",1,0,0,0,NA
"5","LVTR2.5 PNA QNA #5","LVTR2.5","NA","NA","5",2017,2853,2017-08-08,220,NA,NA,NA,NA,NA,NA,4,"8.7",NA,"3.5",NA,"SX","1.78",1,0,0,0,NA
"6","LVTR2.5 PNA QNA #6","LVTR2.5","NA","NA","6",2017,2853,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"5.1",NA,NA,"0.7","V","1.31",3,0,0,0,NA
"7","LVTR2.5 PNA QNA #7","LVTR2.5","NA","NA","7",2017,2853,2017-08-08,220,NA,NA,NA,NA,NA,NA,3,"10.4",NA,"5.3",NA,"SX","1.94",1,0,0,0,NA
"8","LVTR2.5 PNA QNA #8","LVTR2.5","NA","NA","8",2017,2853,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"4.5",NA,NA,"1.3","V","1.67",1,0,0,0,NA
"9","LVTR2.5 PNA QNA #9","LVTR2.5","NA","NA","9",2017,2853,2017-08-08,220,NA,NA,NA,NA,NA,NA,11,"13",NA,"6.4",NA,"SX","1.8",4,0,0,0,NA
"10","LVTR2.5 PNA QNA #10","LVTR2.5","NA","NA","10",2017,2853,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"2.5",NA,NA,"0.7","V","1.7",1,0,0,0,NA
"11","LVTR2.5 PNA QNA #11","LVTR2.5","NA","NA","11",2017,2853,2017-08-08,220,NA,NA,NA,NA,NA,NA,3,"10",NA,"4.7",NA,"SX","1.64",1,0,0,0,NA
"12","LVTR2.5 PNA QNA #12","LVTR2.5","NA","NA","12",2017,2853,2017-08-08,220,NA,NA,NA,NA,NA,NA,5,"18.4",NA,"5.7",NA,"SX","1.99",1,0,0,0,NA
"13","LVTR2.5 PNA QNA #13","LVTR2.5","NA","NA","13",2017,2853,2017-08-08,220,NA,NA,NA,NA,NA,NA,8,"12",NA,"4.6",NA,"SX","1.83",3,0,0,0,NA
"14","LVTR2.5 PNA QNA #14","LVTR2.5","NA","NA","14",2017,2853,2017-08-08,220,NA,NA,NA,NA,NA,NA,23,"15.5","2","5.2",NA,"SX","4.08",5,0,1,1,NA
"15","LVTR2.5 PNA QNA #15","LVTR2.5","NA","NA","15",2017,2853,2017-08-08,220,NA,NA,NA,NA,NA,NA,4,"13.5",NA,"5",NA,"SX","1.66",2,0,0,0,NA
"16","LVTR2.5 PNA QNA #16","LVTR2.5","NA","NA","16",2017,2853,2017-08-08,220,NA,NA,NA,NA,NA,NA,5,"12",NA,"4.7",NA,"SX","1.98",1,0,0,0,NA
"17","LVTR2.5 PNA QNA #17","LVTR2.5","NA","NA","17",2017,2853,2017-08-08,220,NA,NA,NA,NA,NA,NA,9,"11.5",NA,"5.6",NA,"SX","2.51",4,0,0,0,NA
"18","LVTR2.5 PNA QNA #18","LVTR2.5","NA","NA","18",2017,2853,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"1.1","V","1.75",1,0,0,0,NA
"19","LVTR2.5 PNA QNA #19","LVTR2.5","NA","NA","19",2017,2853,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"3.5",NA,NA,"0.6","V","1.5",1,0,0,0,NA
"20","LVTR2.5 PNA QNA #20","LVTR2.5","NA","NA","20",2017,2853,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"3.3",NA,NA,"0.5","V","1.67",1,0,0,0,NA
"21","LVTR2.5 PNA QNA #21","LVTR2.5","NA","NA","21",2017,2853,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"5.2",NA,NA,"0.6","V","1.58",1,0,0,0,NA
"22","LVTR2.5 PNA QNA #22","LVTR2.5","NA","NA","22",2017,2853,2017-08-08,220,NA,NA,NA,NA,NA,NA,2,"8.5",NA,"4.8",NA,"SX","1.43",1,0,0,0,NA
"23","LVTR2.5 PNA QNA #23","LVTR2.5","NA","NA","23",2017,2853,2017-08-08,220,NA,NA,NA,NA,NA,NA,3,"14.1",NA,"6.3",NA,"SX","2.24",1,0,0,0,NA
"24","LVTR2.5 PNA QNA #24","LVTR2.5","NA","NA","24",2017,2853,2017-08-08,220,NA,NA,NA,NA,NA,NA,3,"12.8",NA,"5.6",NA,"SX","1.69",1,0,0,0,NA
"25","LVTR2.5 PNA QNA #25","LVTR2.5","NA","NA","25",2017,2853,2017-08-08,220,NA,NA,NA,NA,NA,NA,10,"20.8",NA,"7.3",NA,"SX","2.52",1,0,0,0,NA
"26","LVTR2 PNA QNA #1","LVTR2","NA","NA","1",2017,2808,2017-08-08,220,NA,NA,NA,NA,NA,NA,4,"11.1",NA,"6.9",NA,"P","1.85",1,0,0,0,NA
"27","LVTR2 PNA QNA #3","LVTR2","NA","NA","3",2017,2808,2017-08-08,220,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,"0.6","V","1.27",1,0,0,0,NA
