site,plot,quad,ind,uniqueID,itero.per,emerg.date,date_01.07.2018,phen_01.07.2018,stem.diam_01.07.2018,height_01.07.2018,total.branch_01.07.2018,longest.leaf_01.07.2018,buds_01.07.2018,flrs_01.07.2018,fruits_01.07.2018,longest.fruit_01.07.2018,herb_01.07.2018,notes_01.07.2018,protocol.notes_01.07.2018,canopy.width.largest.rosette_10.07.2018,date_18.07.2018,phen_18.07.2018,stem.diam_18.07.2018,height_18.07.2018,total.branch_18.07.2018,longest.leaf_18.07.2018,buds_18.07.2018,flrs_18.07.2018,fruits_18.07.2018,longest.fruit_18.07.2018,notes_18.07.2018,herb_18.07.2018,protocol.notes_18.07.2018,date_05.08.2018,phen_05.08.2018,stem.diam_05.08.2018,height_05.08.2018,total.branch_05.08.2018,longest.leaf_05.08.2018,buds_05.08.2018,flrs_05.08.2018,fruits_05.08.2018,longest.fruit_05.08.2018,notes_05.08.2018,herb_05.08.2018,protocol.notes_05.08.2018,date_27.08.2018,phen_27.08.2018,height_27.08.2018,total.branch_27.08.2018,longest.leaf_27.08.2018,buds_27.08.2018,flrs_27.08.2018,fruits_27.08.2018,longest.fruit_27.08.2018,notes_27.08.2018,herb_27.08.2018,protocol.notes_27.08.2018
LV1,1,NA,1,LV1 P1 QNA #1,Y,2017,6/30/18,V,NA,4.1,2,0.5,NA,NA,NA,NA,0,NA,"""D"" = Old plants 2017 ",1.1,7/18/18,F,NA,8.6,2,NA,16,1,NA,NA,NA,0,NA,8/5/18,B,3.22,4.6,4,NA,10,0,0,NA,2b herb (3),2,ANTS everywhere. Syrphid flies too,8/27/18,F,3,3,NA,6,2,NA,NA,NA,0,NA
LV1,1,NA,1-Jan,LV1 P1 QNA #1-1,Y,2017,6/30/18,V,NA,1.2,1,1,NA,NA,NA,NA,0,NA,NA,1.9,7/18/18,F,NA,3.1,1,NA,9,3,NA,NA,herb 1a,1,NA,8/5/18,B,2.34,3.5,3,NA,16,0,0,NA,1 VB herb 1a,1,NA,8/27/18,X,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,2-Jan,LV1 P1 QNA #1-2,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,10,LV1 P1 QNA #10,N,2017,6/30/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Can't Find,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,11,LV1 P1 QNA #11,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,12,LV1 P1 QNA #12,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,13,LV1 P1 QNA #13,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,13-1,LV1 P1 QNA #13-1,Y,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,F,NA,16.2,1,NA,4,5,7,NA,NA,0,NA,8/5/18,P,2.69,17.5,1,NA,0,0,7,6.4,NA,0,NA,8/27/18,S,19.5,1,NA,NA,NA,7,NA,NA,0,NA
LV1,1,NA,13-2,LV1 P1 QNA #13-2,N,7/18/18,6/30/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,V,NA,3.6,1,1,NA,NA,NA,NA,herb 1a,1,NA,8/5/18,V,1.69,2.6,1,1.1,NA,NA,NA,NA,3 other veg nearby,0,NA,8/27/18,V,5.5,1,1.2,NA,NA,NA,NA,NA,0,NA
LV1,1,NA,14,LV1 P1 QNA #14,N,2017,6/30/18,D,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,7/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/5/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,8/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
