,site,plot,quad,ind,uniqueID.19,itero.per.19,emerg.date.19,date_25.07.2019,phen_25.07.2019,stem.diam_25.07.2019,height_25.07.2019,total.branch_25.07.2019,longest.leaf,buds_25.07.2019,flrs_25.07.2019,fruits_25.07.2019,longest.fruit_25.07.2019,herb_25.07.2019,branch.damage_25.07.2019,notes_25.07.2019,protocol.notes_25.07.2019,,date_02.08.2019,phen_02.08.2019,stem.diam_02.08.2019,height_02.08.2019,total.branch_02.08.2019,longest.leaf_02.08.2019,buds_02.08.2019,flrs_02.08.2019,fruits_02.08.2019,longest.fruit_02.08.2019,herb_02.08.2019,branch.damage_02.08.2019,notes_02.08.2019,protocol.notes_02.08.2019,,date_08.08.2019,phen_08.08.2019,stem.diam_08.08.2019,height_08.08.2019,total.branch_08.08.2019,longest.leaf_08.08.2019,buds_08.08.2019,flrs_08.08.2019,fruits_08.08.2019,longest.fruit_08.08.2019,herb_08.08.2019,branch.damage_08.08.2019,notes_08.08.2019,protocol.notes_08.08.2019,date_18.08.2019,phen_18.08.2019,stem.diam_18.08.2019,height_18.08.2019,total.branch_18.08.2019,longest.leaf_18.08.2019,buds_18.08.2019,flrs_18.08.2019,fruits_18.08.2019,longest.fruit_18.08.2019,herb_18.08.2019,branch.damage_18.08.2019,notes_18.08.2019,protocol.notes_18.08.2019,date_28.08.2019,phen_28.08.2019,stem.diam_28.08.2019,height_28.08.2019,total.branch_28.08.2019,longest.leaf_28.08.2019,buds_28.08.2019,flrs_28.08.2019,fruits_28.08.2019,longest.fruit_28.08.2019,herb_28.08.2019,branch.damage_28.08.2019,notes_28.08.2019,protocol.notes_28.08.2019,date_07.09.2019,phen_07.09.2019,stem.diam_07.09.2019,height_07.09.2019,total.branch_07.09.2019,longest.leaf_07.09.2019,buds_07.09.2019,flrs_07.09.2019,fruits_07.09.2019,longest.fruit_07.09.2019,herb_07.09.2019,branch.damage_07.09.2019,notes_07.09.2019,protocol.notes_07.09.2019,date_18.09.2019,phen_18.09.2019,stem.diam_18.09.2019,height_18.09.2019,total.branch_18.09.2019,longest.leaf_18.09.2019,buds_18.09.2019,flrs_18.09.2019,fruits_18.09.2019,longest.fruit_18.09.2019,herb_18.09.2019,branch.damage_18.09.2019,notes_18.09.2019,protocol.notes_18.09.2019,date_28.09.2019,phen_28.09.2019,stem.diam_28.09.2019,height_28.09.2019,total.branch_28.09.2019,longest.leaf_28.09.2019,buds_28.09.2019,flrs_28.09.2019,fruits_28.09.2019,longest.fruit_28.09.2019,herb_28.09.2019,branch.damage_28.09.2019,notes_28.09.2019,protocol.notes_28.09.2019,
,LVTR2.5,NA,NA,27,LVTR2.5 PNA QNA #27,N,7/26/19,7/26/19,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing,NA,,8/2/19,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"did not measure vegetative plants this date, except for herbivory & survival",,8/8/19,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/18/19,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/28/19,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/7/19,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/19,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/28/19,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,LVTR2.5,NA,NA,28,LVTR2.5 PNA QNA #28,N,7/26/19,7/26/19,F,2.18,6.5,4,NA,9,2,NA,NA,0,0,3 VB,NA,,8/2/19,F,NA,NA,6,NA,7,5,3,NA,2,1,"4 VB, AM broken (2b)",NA,,8/8/19,F,NA,NA,6,NA,3,3,8,NA,0,1,"4VB, AM broken",NA,8/18/19,F,NA,NA,6,NA,3,1,9,NA,0,0,NA,NA,8/28/19,P,NA,NA,8,NA,4,0,9,NA,1,0,"1a, 6 VB",NA,9/7/19,F,2.74,14.5,9,NA,3,1,9,6.1,0,0,5 VB,NA,9/18/19,F,NA,NA,9,NA,0,1,8,NA,0,0,NA,NA,9/28/19,P,NA,NA,9,NA,0,0,9,NA,0,0,NA,NA,
,LVTR2.5,NA,NA,29,LVTR2.5 PNA QNA #29,N,7/26/19,7/26/19,V,1.9,2.8,3,1.5,NA,NA,NA,NA,2,1,main branch broken (2b),NA,,8/2/19,V,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/8/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,8/18/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,8/28/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,9/7/19,V,2.22,4.6,3,1.6,NA,NA,NA,NA,0,0,NA,NA,9/18/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,9/28/19,V,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,LVTR2.5,NA,NA,30,LVTR2.5 PNA QNA #30,N,7/26/19,7/26/19,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/2/19,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/8/19,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/18/19,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/28/19,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/7/19,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/19,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/28/19,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,LVTR2.5,NA,NA,39,LVTR2.5 PNA QNA #39,N,7/26/19,7/26/19,V,1.93,3.2,3,0.5,NA,NA,NA,NA,0,0,2 VB,NA,,8/2/19,V,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/8/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,8/18/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,8/28/19,V,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,9/7/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/28/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,LVTR2.5,NA,NA,40,LVTR2.5 PNA QNA #40,N,7/26/19,7/26/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/2/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/8/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/18/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/28/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/7/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/28/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,LVTR2.5,NA,NA,44,LVTR2.5 PNA QNA #44,N,7/26/19,7/26/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/2/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/8/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/18/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/28/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/7/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/28/19,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,LVTR2.5,NA,NA,78,LVTR2.5 PNA QNA #78,N,7/26/19,7/26/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/2/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8/8/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/18/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/28/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/7/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/28/19,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,LVTR2.5,NA,NA,8-1,LVTR2.5 PNA QNA #8-1,N,7/26/19,7/26/19,F,4.2,15,7,NA,21,23,8,NA,0,0,NA,NA,,8/2/19,F,NA,NA,6,NA,7,6,29,NA,2,1,AM broken (2b),NA,,8/8/19,F,NA,NA,6,NA,2,1,26,NA,0,1,AM broken,NA,8/18/19,S,NA,NA,6,NA,0,0,15,NA,0,1,one branch broke,NA,8/28/19,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/7/19,F,3.5,16.3,9,NA,16,6,16,7,0,0,NA,NA,9/18/19,F,NA,NA,9,NA,15,4,15,NA,0,0,most fruits dehisced/soggy,NA,9/28/19,S,NA,NA,9,NA,0,0,0,NA,0,0,repro structures dead,NA,
,LVTR2.5,NA,NA,9-1,LVTR2.5 PNA QNA #9-1,N,7/26/19,7/26/19,F,5.1,20,25,NA,46,85,39,NA,0,0,NA,NA,,8/2/19,F,NA,NA,25,NA,18,25,103,NA,0,0,NA,NA,,8/8/19,F,NA,NA,25,NA,3,5,108,NA,0,0,NA,NA,8/18/19,S,NA,NA,25,NA,0,0,67,NA,0,0,some pods fell off,NA,8/28/19,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/7/19,B,4.55,22.5,23,NA,8,0,65,7.2,0,0,NA,NA,9/18/19,F,NA,NA,23,NA,12,2,65,NA,0,0,most fruits dehisced/soggy,NA,9/28/19,F,NA,NA,23,NA,8,2,0,NA,0,0,flowers not frozen but probably not viable,repro structures frozen on many plants,
