pop_plot,all,temp,date,time,am_pm
LV1,10/19/17 16:18,5.5,10/19/17,4:18:00,PM
LV1,10/19/17 19:18,5,10/19/17,7:18:00,PM
LV1,10/19/17 22:18,3.5,10/19/17,10:18:00,PM
LV1,10/20/17 1:18,3,10/20/17,1:18:00,AM
LV1,10/20/17 4:18,2.5,10/20/17,4:18:00,AM
LV1,10/20/17 7:18,2.5,10/20/17,7:18:00,AM
LV1,10/20/17 10:18,2,10/20/17,10:18:00,AM
LV1,10/20/17 13:18,2,10/20/17,1:18:00,PM
LV1,10/20/17 16:18,2,10/20/17,4:18:00,PM
LV1,10/20/17 19:18,2,10/20/17,7:18:00,PM
LV1,10/20/17 22:18,1.5,10/20/17,10:18:00,PM
LV1,10/21/17 1:18,1.5,10/21/17,1:18:00,AM
LV1,10/21/17 4:18,1.5,10/21/17,4:18:00,AM
LV1,10/21/17 7:18,1.5,10/21/17,7:18:00,AM
LV1,10/21/17 10:18,1.5,10/21/17,10:18:00,AM
LV1,10/21/17 13:18,1.5,10/21/17,1:18:00,PM
LV1,10/21/17 16:18,1.5,10/21/17,4:18:00,PM
LV1,10/21/17 19:18,1,10/21/17,7:18:00,PM
LV1,10/21/17 22:18,1,10/21/17,10:18:00,PM
LV1,10/22/17 1:18,1,10/22/17,1:18:00,AM
LV1,10/22/17 4:18,1,10/22/17,4:18:00,AM
LV1,10/22/17 7:18,1,10/22/17,7:18:00,AM
LV1,10/22/17 10:18,1,10/22/17,10:18:00,AM
LV1,10/22/17 13:18,1,10/22/17,1:18:00,PM
LV1,10/22/17 16:18,1,10/22/17,4:18:00,PM
LV1,10/22/17 19:18,1,10/22/17,7:18:00,PM
LV1,10/22/17 22:18,1,10/22/17,10:18:00,PM
LV1,10/23/17 1:18,1,10/23/17,1:18:00,AM
LV1,10/23/17 4:18,1,10/23/17,4:18:00,AM
LV1,10/23/17 7:18,1,10/23/17,7:18:00,AM
LV1,10/23/17 10:18,1,10/23/17,10:18:00,AM
LV1,10/23/17 13:18,1,10/23/17,1:18:00,PM
LV1,10/23/17 16:18,0.5,10/23/17,4:18:00,PM
LV1,10/23/17 19:18,0.5,10/23/17,7:18:00,PM
LV1,10/23/17 22:18,0.5,10/23/17,10:18:00,PM
LV1,10/24/17 1:18,0.5,10/24/17,1:18:00,AM
LV1,10/24/17 4:18,0.5,10/24/17,4:18:00,AM
LV1,10/24/17 7:18,0.5,10/24/17,7:18:00,AM
LV1,10/24/17 10:18,0.5,10/24/17,10:18:00,AM
LV1,10/24/17 13:18,0.5,10/24/17,1:18:00,PM
LV1,10/24/17 16:18,1.5,10/24/17,4:18:00,PM
LV1,10/24/17 19:18,2,10/24/17,7:18:00,PM
LV1,10/24/17 22:18,1.5,10/24/17,10:18:00,PM
LV1,10/25/17 1:18,1,10/25/17,1:18:00,AM
LV1,10/25/17 4:18,1,10/25/17,4:18:00,AM
LV1,10/25/17 7:18,1,10/25/17,7:18:00,AM
LV1,10/25/17 10:18,2,10/25/17,10:18:00,AM
LV1,10/25/17 13:18,12.5,10/25/17,1:18:00,PM
LV1,10/25/17 16:18,15,10/25/17,4:18:00,PM
LV1,10/25/17 19:18,9,10/25/17,7:18:00,PM
LV1,10/25/17 22:18,5,10/25/17,10:18:00,PM
