uniqueID.4,date_27.07.2018,site_27.07.2018,plot_27.07.2018,quad_27.07.2018,ind_27.07.2018,phen_27.07.2018,height_27.07.2018,total.branch_27.07.2018,longest.leaf_27.07.2018,flrs_27.07.2018,fruits_27.07.2018,buds_27.07.2018,notes_27.07.2018,herb_27.07.2018,protocol.notes_27.07.2018
LV1 P1 QNA #1,7/27/18,LV1,1,NA,1,B,4.6*,3,NA,NA,NA,7,*herb 2b (photo) (3 branches),,
LV1 P1 QNA #1-1,7/27/18,LV1,1,NA,1-Jan,B,2.1,3,NA,NA,NA,9,herb 1a,1,
LV1 P1 QNA #19-1,7/27/18,LV1,1,NA,19-1,P,11,2,NA,NA,5,NA,herb 2b (1 branch),2,
LV1 P1 QNA #19-1-1,7/27/18,LV1,1,NA,19-1-1,V,1.9,1,1.2,NA,NA,NA,herb 1a,1,
LV1 P1 QNA #19-1-2,7/27/18,LV1,1,NA,19-1-2,P,8.1,1,NA,NA,4,2,NA,,
LV1 P1 QNA #19-1-3,7/27/18,LV1,1,NA,19-1-3,P,4.5,1,NA,NA,2,NA,herb 1A,1,
LV1 P1 QNA #19-1-4,7/27/18,LV1,1,NA,19-1-4,V,1.9,1,0.8,NA,NA,NA,NA,,
LV1 P1 QNA #19-1-5,7/27/18,LV1,1,NA,19-1-5,F,4.4,1,NA,1,1,7,NA,,
LV1 P1 QNA #19-2,7/27/18,LV1,1,NA,19-2,B,6.2,4,NA,NA,NA,16,"may have flowered, herb 2b (2 branches)",2,
LV1 P1 QNA #19-3,7/27/18,LV1,1,NA,19-3,V,2.7,1,1.1,NA,NA,NA,NA,,
LV1 P1 QNA #19-4,7/27/18,LV1,1,NA,19-4,P,12.3,1,NA,NA,7,NA,NA,,
LV1 P1 QNA #19-5,7/27/18,LV1,1,NA,19-5,V,2.2,1,1.2,NA,NA,NA,NA,,
LV1 P1 QNA #19-6,7/27/18,LV1,1,NA,19-6,P,18.2,1,NA,NA,6,3,NA,,
LV1 P1 QNA #19-7,7/27/18,LV1,1,NA,19-7,P,17.6,1,NA,NA,7,4,herb 1a,1,
LV1 P1 QNA #21-2,7/27/18,LV1,1,NA,21-2,P,19,1,NA,NA,11,3,NA,,
LV1 P1 QNA #23-2,7/27/18,LV1,1,NA,23-2,P,13.5,1,NA,NA,7,3,NA,,
LV1 P1 QNA #23-3,7/27/18,LV1,1,NA,23-3,F,12,1,NA,1,NA,5,NA,,
LV1 P1 QNA #24-1-1,7/27/18,LV1,1,NA,24-1-1,F?*,7.5*,1,NA,NA,NA,NA,*herb 2b (1 branch),2,
LV1 P1 QNA #24-1-2,7/27/18,LV1,1,NA,24-1-2,F,12,2,NA,2,6,3,herb 2b (1 branch),2,
LV1 P1 QNA #24-1-3,7/27/18,LV1,1,NA,24-1-3,F?*,6.1*,3,NA,NA,NA,NA,herb 2b (3 branches),2,
LV1 P1 QNA #24-1-4,7/27/18,LV1,1,NA,24-1-4,F?*,9.6*,1,NA,NA,NA,NA,herb 2b (1 branch),2,
LV1 P1 QNA #24-1-5,7/27/18,LV1,1,NA,24-1-5,F?*,7.5*,2,NA,NA,NA,NA,herb 2b (2 branches),2,
LV1 P1 QNA #24-1-6,7/27/18,LV1,1,NA,24-1-6,P,15.5,1,NA,NA,7,NA,NA,,
LV1 P1 QNA #24-6,7/27/18,LV1,1,NA,24-6,P,7.5,3,NA,NA,1,4,herb 2b (3 branches),2,
LV1 P1 QNA #38-2,7/27/18,LV1,1,NA,38-2,V,2.5,1,0.9,NA,NA,NA,NA,,
LV1 P1 QNA #38-3,7/27/18,LV1,1,NA,38-3,V,2.8,1,1.2,NA,NA,NA,herb 1A,1,
LV1 P1 QNA #38-4,7/27/18,LV1,1,NA,38-4,X,5,1,NA,NA,NA,NA,herb 2b (photo) (1 branch),2,devastated
LV1 P1 QNA #38-5,7/27/18,LV1,1,NA,38-5,P,13.1,1,NA,NA,3,3,NA,,
LV1 P1 QNA #38-6,7/27/18,LV1,1,NA,38-6,P,13.9,1,NA,NA,9,3,herb 1a,1,lasioglossum syrohid flies
LV1 P1 QNA #38-7,7/27/18,LV1,1,NA,38-7,P,12.8,1,NA,NA,5,3,NA,,bees
LV1 P1 QNA #38-8,7/27/18,LV1,1,NA,38-8,P,13.5,1,NA,NA,6,3,NA,,moth
LV1 P1 QNA #38-9,7/27/18,LV1,1,NA,38-9,P,10.5,1,NA,NA,5,3,NA,,
LV1 P1 QNA #40-1,7/27/18,LV1,1,NA,40-1,V,1.6,1,1.1,NA,NA,NA,NA,,
LV1 P1 QNA #40-2,7/27/18,LV1,1,NA,40-2,V,2.9,1,0.6,NA,NA,NA,NA,,
LV1 P1 QNA #43-2,7/27/18,LV1,1,NA,43-2,F,17,1,NA,3,8,6,mutated buds (photo),,
LV1 P1 QNA #43-1,7/27/18,LV1,1,NA,43-1,NA,NA,NA,NA,NA,NA,NA,lost,,
LV1 P1 QNA #43-3,7/27/18,LV1,1,NA,43-3,F,10.5,1,NA,2,4,4,herb.1a,1,
LV1 P1 QNA #43-2-1,7/27/18,LV1,1,NA,43-2-1,F,15.6,1,NA,1,7,3,NA,,
LV1 P1 QNA #13-1,7/27/18,LV1,1,NA,13-1,P,15.2,1,NA,0,7,2,NA,,
LV1 P1 QNA #13-2,7/27/18,LV1,1,NA,13-2,V,3.2,1,1,NA,NA,NA,herb 1A,1,
LV1 P2 QNA #0-4,7/27/18,LV1,2,NA,0-4,F,11,4,NA,12,4,15,herb 2b (4 branches),2,
LV1 P2 QNA #0-5,7/27/18,LV1,2,NA,0-5,F,14,4,NA,11,10,15,herb 2a (1 branch),2,
LV1 P2 QNA #0-9-1,7/27/18,LV1,2,NA,0-9-1,F,7.2,3,NA,5,NA,17,herb 1a,1,
LV1 P2 QNA #0-11,7/27/18,LV1,2,NA,0-11,F,14.2,3,NA,8,14,6,NA,,
LV1 P2 QNA #0-12,7/27/18,LV1,2,NA,0-12,F,7,3,NA,4,NA,13,herb 2b (1 branch),2,
LV1 P2 QNA #0-12-1,7/27/18,LV1,2,NA,0-12-1,F,8,1,NA,3,5,4,NA,,
LV1 P2 QNA #2-4,7/27/18,LV1,2,NA,4-Feb,P,12,2,NA,NA,10,10,NA,,
LV1 P2 QNA #2-5,7/27/18,LV1,2,NA,5-Feb,F?*,5.2,1,NA,NA,NA,NA,herb 2b (1 branch),2,
LV1 P2 QNA #3-2,7/27/18,LV1,2,NA,2-Mar,F,11,4,NA,2,9,6,herb 2b (2 branches),2,
LV1 P2 QNA #9-4,7/27/18,LV1,2,NA,4-Sep,P,11.6,1,NA,NA,3,2,NA,,
LV1 P2 QNA #10-7,7/27/18,LV1,2,NA,7-Oct,P,14.3,1,NA,NA,8,1,NA,,
LV1 P2 QNA #10-8,7/27/18,LV1,2,NA,8-Oct,P,9.4,1,NA,NA,6,2,NA,,
LV1 P2 QNA #10-9,7/27/18,LV1,2,NA,9-Oct,P,11,1,NA,NA,4,6,NA,,
LV1 P2 QNA #10-10,7/27/18,LV1,2,NA,10-Oct,P,10.2,1,NA,NA,3,3,NA,,
LV1 P2 QNA #12-1-1,7/27/18,LV1,2,NA,12/1/01,P,12.2,1,NA,NA,8,3,NA,,
LV1 P2 QNA #12-1-2,7/27/18,LV1,2,NA,12/1/02,B?*,4.8,4,NA,NA,NA,10,*herb 2b (1 branch),2,
LV1 P2 QNA #12-1-3,7/27/18,LV1,2,NA,12/1/03,P,9.9,1,NA,NA,3,NA,,,
LV1 P2 QNA #12-1-4,7/27/18,LV1,2,NA,12/1/04,P,10.2,1,NA,NA,3,NA,,,
LV1 P2 QNA #12-3,7/27/18,LV1,2,NA,3-Dec,P,14.1,1,NA,NA,6,2,,,
LV1 P2 QNA #15-1,7/27/18,LV1,2,NA,15-1,V,4.5,1,1.4,NA,NA,NA,,,
LV1 P2 QNA #16,7/27/18,LV1,2,NA,16,V,2.1,1,1.2,NA,NA,NA,,,
LV1 P2 QNA #16-1,7/27/18,LV1,2,NA,16-1,V,2.2,1,0.8,NA,NA,NA,,,
LV1 P2 QNA #17,7/27/18,LV1,2,NA,17,V,2.5,3,1.2,NA,NA,NA,,,
LV1 P2 QNA #17-1,7/27/18,LV1,2,NA,17-1,P,13.5,1,NA,NA,7,2,,,
LV1 P2 QNA #18-2,7/27/18,LV1,2,NA,18-2,B,2.9,1,NA,NA,NA,1,,,
LV1 P2 QNA #19,7/27/18,LV1,2,NA,19,V,1.4,3,0.6,NA,NA,NA,,,
LV1 P2 QNA #20,7/27/18,LV1,2,NA,20,B*,4.3*,4,NA,NA,NA,15,herb 2b (2 branches),2,
LV1 P2 QNA #21,7/27/18,LV1,2,NA,21,F,16.5,1,NA,1,12,3,,,
LV1 P2 QNA #22,7/27/18,LV1,2,NA,22,F,6.1,2,NA,3,1,2,,,
