"","uniqueID","site","plot","quad","ind","emerg.date","phen.1","itero.per.","date.1","stem.diam.1","height.1","total.branch.1","longest.leaf.1","buds_08.08.2017","flrs_08.08.2017","fruits_08.08.2017","longest.fruit.1","phen.2","date.2","stem.diam.2","height.2","total.branch.2","longest.leaf.2","buds_14.08.2017","flrs_14.08.2017","fruits_14.08.2017","longest.fruit.2","phen.3","date.3","stem.diam.3","height.3","total.branch.3","longest.leaf.3","buds_21.08.2017","flrs_21.08.2017","fruits_21.08.2017","longest.fruit.3","phen.4","date.4","stem.diam.4","height.4","total.branch.4","longest.leaf.4","buds_28.08.2017","flrs_28.08.2017","fruits_28.08.2017","longest.fruit.4","date.5","phen.5","stem.diam.5","height.5","total.branch.5","longest.leaf.5","buds_03.09.2017","flrs_03.09.2017","fruits_03.09.2017","longest.fruit.5","date.8","phen.8","stem.diam.8","height.8","total.branch.8","longest.leaf.8","buds_30.09.2017","flrs_30.09.2017","fruits_30.09.2017","longest.fruit.8","canopy.width.8","date.6","phen.6","stem.diam6","height.6","total.branch.6","longest.leaf.6","buds.8","flrs.6","fruits.6","longest.fruit.6","notes.6","protocol.notes.6","uniqueID_6","matches.","date.7","phen.7","stem.diam.7","height.7","total.branch.7","longest.leaf.7","buds.7","flrs.7","fruits.7","longest.fruit.7","notes.7"
"1","LV1 P1 QNA #1","LV1",1,NA,"1","(8/9/17)","V","Y","8/9/17","1.8",1.3,2,1,0,0,0,NA,"V","8/15/17","1.8",1.8,2,1,0,0,0,NA,"B","8/22/17","1.8",1.8,2,NA,4,0,0,NA,"B","8/29/17","1.8",2.7,2,NA,10,0,0,NA,"9/3/17","F",1.35,0.9,1,0.9,0,0,0,NA,"9/30/17","P",2.02,"6","3",NA,0,0,2,"3.9",NA,"9/12/17","F","2.22","5.2","3",NA,"8","2","2","3.1",NA,NA,"LV1 P1 QNA #1","Y","9/19/17","F",2.22,7,"3",NA,8,3,2,4.1,NA
"2","LV1 P1 QNA #1-1","LV1",1,NA,"1-Jan","(8/29/2017)",NA,"N","8/9/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/15/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/22/17",NA,NA,NA,NA,0,0,0,NA,"V","8/29/17","0.96",0.6,1,0.6,0,0,0,NA,"9/3/17","V",NA,NA,NA,NA,0,0,0,NA,"9/30/17","V",1.47,"1.4","1",1,0,0,0,NA,2,"9/12/17","V","1.35","0.9","1","0.9",NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #1-1","Y","9/19/17","V",1.35,0.9,"1","0.9",NA,NA,NA,NA,NA
"3","LV1 P1 QNA #1-2","LV1",1,NA,"2-Jan","(8/29/2017)",NA,"N","8/9/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/15/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/22/17",NA,NA,NA,NA,0,0,0,NA,"F","8/29/17","1.54",10.2,3,NA,21,1,0,NA,"9/3/17","F",1.35,0.9,1,0.9,0,0,0,NA,"9/30/17","S",1.66,"14","3",NA,0,0,7,"7",NA,"9/12/17","F","2.13","15","3",NA,"8","4","8","6.5","1vb",NA,"LV1 P1 QNA #1-2","Y","9/19/17","F",2.13,15,"3",NA,7,2,11,7,"2 VB"
"4","LV1 P1 QNA #10","LV1",1,NA,"10","(8/9/17)","D","N","8/9/17",NA,NA,NA,NA,0,0,0,NA,"D","8/15/17",NA,NA,NA,NA,0,0,0,NA,"D","8/22/17",NA,NA,NA,NA,0,0,0,NA,"D","8/29/17",NA,NA,NA,NA,0,0,0,NA,"9/3/17","D",NA,NA,NA,NA,0,0,0,NA,"9/30/17","D",NA,NA,NA,NA,0,0,0,NA,NA,"9/12/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #10","Y","9/19/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","LV1 P1 QNA #11","LV1",1,NA,"11","(8/9/17)","D","N","8/9/17",NA,NA,NA,NA,0,0,0,NA,"D","8/15/17",NA,NA,NA,NA,0,0,0,NA,"D","8/22/17",NA,NA,NA,NA,0,0,0,NA,"D","8/29/17",NA,NA,NA,NA,0,0,0,NA,"9/3/17","D",NA,NA,NA,NA,0,0,0,NA,"9/30/17","D",NA,NA,NA,NA,0,0,0,NA,NA,"9/12/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #11","Y","9/19/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","LV1 P1 QNA #12","LV1",1,NA,"12","(8/9/17)","D","N","8/9/17",NA,NA,NA,NA,0,0,0,NA,"D","8/15/17",NA,NA,NA,NA,0,0,0,NA,"D","8/22/17",NA,NA,NA,NA,0,0,0,NA,"D","8/29/17",NA,NA,NA,NA,0,0,0,NA,"9/3/17","D",NA,NA,NA,NA,0,0,0,NA,"9/30/17","D",NA,NA,NA,NA,0,0,0,NA,NA,"9/12/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #12","Y","9/19/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LV1 P1 QNA #13","LV1",1,NA,"13","(8/9/17)","D","N","8/9/17",NA,NA,NA,NA,0,0,0,NA,"D","8/15/17",NA,NA,NA,NA,0,0,0,NA,"D","8/22/17",NA,NA,NA,NA,0,0,0,NA,"D","8/29/17",NA,NA,NA,NA,0,0,0,NA,"9/3/17","D",NA,NA,NA,NA,0,0,0,NA,"9/30/17","D",NA,NA,NA,NA,0,0,0,NA,NA,"9/12/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #13","Y","9/19/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","LV1 P1 QNA #13-1","LV1",1,NA,"13-1","(8/29/2017)",NA,NA,"8/9/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/15/17",NA,NA,NA,NA,0,0,0,NA,NA,"8/22/17",NA,NA,NA,NA,0,0,0,NA,"F","8/29/17","1.72",6.5,3,NA,8,1,0,NA,"9/3/17","F",1.92,9.3,3,NA,5,5,1,0.4,"9/30/17","S",2.34,"10","1",NA,0,0,4,"4.7",NA,"9/12/17","F","1.92","11","3",NA,"4","1","5","4.8",NA,NA,"LV1 P1 QNA #13-1","Y","9/19/17","P",1.92,11,"3",NA,4,0,8,4.8,NA
"9","LV1 P1 QNA #14","LV1",1,NA,"14","(8/9/17)","D","N","8/9/17",NA,NA,NA,NA,0,0,0,NA,"D","8/15/17",NA,NA,NA,NA,0,0,0,NA,"D","8/22/17",NA,NA,NA,NA,0,0,0,NA,"D","8/29/17",NA,NA,NA,NA,0,0,0,NA,"9/3/17","D",NA,NA,NA,NA,0,0,0,NA,"9/30/17","D",NA,NA,NA,NA,0,0,0,NA,NA,"9/12/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #14","Y","9/19/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","LV1 P1 QNA #15","LV1",1,NA,"15","(8/9/17)","D","N","8/9/17",NA,NA,NA,NA,0,0,0,NA,"D","8/15/17",NA,NA,NA,NA,0,0,0,NA,"D","8/22/17",NA,NA,NA,NA,0,0,0,NA,"D","8/29/17",NA,NA,NA,NA,0,0,0,NA,"9/3/17","D",NA,NA,NA,NA,0,0,0,NA,"9/30/17","D",NA,NA,NA,NA,0,0,0,NA,NA,"9/12/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LV1 P1 QNA #15","Y","9/19/17","D",NA,NA,NA,NA,NA,NA,NA,NA,NA
