,uniqueID,site,plot,quad,date,ind,buds,flrs,fruits,herb,melt_date
1,LV1 P1 QNA #1,LV1,1,NA,7/1/18,1,NA,NA,NA,0,6/20/18
2,LV1 P1 QNA #1,LV1,1,NA,7/10/18,1,9,NA,NA,0,6/20/18
3,LV1 P1 QNA #1,LV1,1,NA,7/18/18,1,16,1,NA,0,6/20/18
979,LV3 P1 Q3 #2-4,LV3,1,3,7/1/18,4-Feb,26,10,6,1,5/17/18
1567,LVTR2 PNA QNA #45,LVTR2,NA,NA,7/1/18,45,15,3,NA,1,6/1/18
6,LV1 P1 QNA #1,LV1,1,NA,8/27/18,1,6,2,NA,0,6/20/18
7,LV1 P1 QNA #1-1,LV1,1,NA,7/1/18,1-Jan,NA,NA,NA,0,6/20/18
8,LV1 P1 QNA #1-1,LV1,1,NA,7/10/18,1-Jan,10,NA,NA,0,6/20/18
1591,LVTR2 PNA QNA #49,LVTR2,NA,NA,7/1/18,49,6,NA,NA,1,6/1/18
10,LV1 P1 QNA #1-1,LV1,1,NA,7/27/18,1-Jan,NA,NA,NA,NA,6/20/18
1705,LVTR2.5 PNA QNA #40,LVTR2.5,NA,NA,7/1/18,40,NA,NA,NA,1,NA
12,LV1 P1 QNA #1-1,LV1,1,NA,8/27/18,1-Jan,NA,NA,NA,0,6/20/18
13,LV1 P1 QNA #10,LV1,1,NA,7/1/18,10,NA,NA,NA,0,6/20/18
14,LV1 P1 QNA #10,LV1,1,NA,7/10/18,10,NA,NA,NA,NA,6/20/18
15,LV1 P1 QNA #10,LV1,1,NA,7/18/18,10,NA,NA,NA,0,6/20/18
16,LV1 P1 QNA #10,LV1,1,NA,7/27/18,10,NA,NA,NA,NA,6/20/18
17,LV1 P1 QNA #10,LV1,1,NA,8/5/18,10,NA,NA,NA,0,6/20/18
18,LV1 P1 QNA #10,LV1,1,NA,8/27/18,10,NA,NA,NA,0,6/20/18
19,LV1 P1 QNA #13-1,LV1,1,NA,7/1/18,13-1,NA,NA,NA,NA,6/20/18
20,LV1 P1 QNA #13-1,LV1,1,NA,7/10/18,13-1,11,3,NA,0,6/20/18
21,LV1 P1 QNA #13-1,LV1,1,NA,7/18/18,13-1,NA,NA,NA,NA,6/20/18
1711,LVTR2.5 PNA QNA #41,LVTR2.5,NA,NA,7/1/18,41,20,NA,NA,1,NA
23,LV1 P1 QNA #13-1,LV1,1,NA,8/5/18,13-1,NA,NA,NA,NA,6/20/18
24,LV1 P1 QNA #13-1,LV1,1,NA,8/27/18,13-1,NA,NA,NA,NA,6/20/18
25,LV1 P1 QNA #13-2,LV1,1,NA,7/1/18,13-2,NA,NA,NA,0,6/20/18
26,LV1 P1 QNA #13-2,LV1,1,NA,7/10/18,13-2,NA,NA,NA,0,6/20/18
50,LV1 P1 QNA #19-1-3,LV1,1,NA,7/10/18,19-1-3,4,NA,NA,1,6/20/18
28,LV1 P1 QNA #13-2,LV1,1,NA,7/27/18,13-2,NA,NA,NA,NA,6/20/18
29,LV1 P1 QNA #13-2,LV1,1,NA,8/5/18,13-2,NA,NA,NA,0,6/20/18
30,LV1 P1 QNA #13-2,LV1,1,NA,8/27/18,13-2,NA,NA,NA,0,6/20/18
31,LV1 P1 QNA #19-1,LV1,1,NA,7/1/18,19-1,11,0,0,0,6/20/18
32,LV1 P1 QNA #19-1,LV1,1,NA,7/10/18,19-1,25,2,NA,0,6/20/18
33,LV1 P1 QNA #19-1,LV1,1,NA,7/18/18,19-1,8,8,13,0,6/20/18
194,LV1 P1 QNA #38-2,LV1,1,NA,7/10/18,38-2,NA,NA,NA,1,6/20/18
200,LV1 P1 QNA #38-3,LV1,1,NA,7/10/18,38-3,NA,NA,NA,1,6/20/18
266,LV1 P1 QNA #43-2-1,LV1,1,NA,7/10/18,43-2-1,13,NA,NA,1,6/20/18
37,LV1 P1 QNA #19-1-1,LV1,1,NA,7/1/18,19-1-1,NA,NA,NA,0,6/20/18
38,LV1 P1 QNA #19-1-1,LV1,1,NA,7/10/18,19-1-1,NA,NA,NA,0,6/20/18
