uniqueID,site,plot,quad,ind,emerg.date,phen.1,itero.per?,date.1,stem.diam.1,height.1,total.branch.1,longest.leaf.1,buds_08.08.2017,flrs_08.08.2017,fruits_08.08.2017,longest.fruit.1,herb_08.08.2017,phen.2,date.2,stem.diam.2,height.2,total.branch.2,longest.leaf.2,buds_14.08.2017,flrs_14.08.2017,fruits_14.08.2017,longest.fruit.2,herb_14.08.2017,phen.3,date.3,stem.diam.3,height.3,total.branch.3,longest.leaf.3,buds_21.08.2017,flrs_21.08.2017,fruits_21.08.2017,longest.fruit.3,herb_21.08.2017,ind,phen.4,date.4,stem.diam.4,height.4,total.branch.4,longest.leaf.4,buds_28.08.2017,flrs_28.08.2017,fruits_28.08.2017,longest.fruit.4,herb_28.08.2017,date.5,phen.5,stem.diam.5,height.5,total.branch.5,longest.leaf.5,buds_03.09.2017,flrs_03.09.2017,fruits_03.09.2017,longest.fruit.5,herb_03.09.2017,date.6,phen.6,stem.diam6,height.6,total.branch.6,longest.leaf.6,buds_11.09.2017,flrs_11.09.2017,fruits_11.09.2017,longest.fruit.6,herb_11.09.2017,date.7,phen.7,stem.diam.7,height.7,total.branch.7,longest.leaf.7,buds_18.09.2017,flrs_18.09.2017,fruits_18.09.2017,longest.fruit.7,herb_18.09.2017,date.8,phen.8,stem.diam.8,height.8,total.branch.8,longest.leaf.8,buds_30.09.2017,flrs_30.09.2017,fruits_30.09.2017,longest.fruit.8,canopy.width.8,herb_30.09.2017
LVTR2.5 PNA QNA #1,LVTR2.5,NA,NA,1,(8/9/17),SX,N,8/9/17,2.28,18,1,NA,NA,NA,5,6.3,NA,S,8/15/17,2.28,18,1,NA,NA,NA,5,6.3,NA,SX,8/21/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,SX,8/28/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/2/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/11/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVTR2.5 PNA QNA #2,LVTR2.5,NA,NA,2,(8/9/17),F,N,8/9/17,1.49,14,2,NA,NA,2,6,4.4,NA,S,8/15/17,1.49,14,2,NA,0,0,6,4.4,NA,P/B,8/21/17,1.49,14,2,NA,6,0,6,4.4,NA,2,F,8/28/17,1.49,14,2,NA,6,4,6,4.4,NA,9/2/17,F,1.49,14,2,NA,3,2,9,4.4,NA,9/11/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVTR2.5 PNA QNA #3,LVTR2.5,NA,NA,3,(8/9/17),V,N,8/9/17,2.46,4,2,1.1,NA,NA,NA,NA,NA,V,8/15/17,2.46,4,2,1,NA,NA,NA,NA,NA,V,8/21/17,2.46,4.5,2,1.4,NA,NA,NA,NA,NA,3,V,8/28/17,3.67,4.5,2,1.4,NA,NA,NA,NA,NA,9/2/17,V,4.15,4.5,2,1.4,NA,NA,NA,NA,NA,9/11/17,V,4.15,4.5,2,1.4,NA,NA,NA,NA,NA,9/18/17,V,4.15,4.5,2,1.4,NA,NA,NA,NA,NA,9/30/17,V,3.8,2.6,1,1.4,NA,NA,NA,NA,2.5,NA
LVTR2.5 PNA QNA #4,LVTR2.5,NA,NA,4,(8/9/17),V,N,8/9/17,1.1,2,1,0.9,NA,NA,NA,NA,NA,V,8/15/17,1.1,2,1,0.9,NA,NA,NA,NA,NA,V,8/21/17,1.1,3.2,1,0.9,NA,NA,NA,NA,NA,4,V,8/28/17,1.46,3.2,1,1.2,NA,NA,NA,NA,NA,9/2/17,V,1.62,3.5,1,1.2,NA,NA,NA,NA,NA,9/11/17,V,1.62,3.5,1,1.2,NA,NA,NA,NA,NA,9/18/17,V,1.62,3.5,1,1.2,NA,NA,NA,NA,NA,9/30/17,V,3.01,2.5,1,1.1,NA,NA,NA,NA,2.3,NA
LVTR2.5 PNA QNA #5,LVTR2.5,NA,NA,5,(8/9/17),SX,N,8/9/17,1.78,8.7,1,NA,NA,NA,4,3.5,NA,SX,8/15/17,1.78,8.7,1,NA,NA,NA,4,3.5,NA,SX,8/21/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,SX,8/28/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/2/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/11/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVTR2.5 PNA QNA #6,LVTR2.5,NA,NA,6,(8/9/17),V,N,8/9/17,1.31,5.1,3,0.7,NA,NA,NA,NA,NA,V,8/15/17,1.31,5.1,3,0.7,NA,NA,NA,NA,NA,V,8/21/17,1.31,5.1,3,1,NA,NA,NA,NA,NA,6,V,8/28/17,1.31,5.1,3,1,NA,NA,NA,NA,NA,9/2/17,V,1.5,5.1,3,1,NA,NA,NA,NA,NA,9/11/17,V,1.5,5.1,3,1,NA,NA,NA,NA,NA,9/18/17,V,1.5,5.1,3,1,NA,NA,NA,NA,NA,9/30/17,V,2.3,4.5,2,1.2,NA,NA,NA,NA,2.5,NA
LVTR2.5 PNA QNA #7,LVTR2.5,NA,NA,7,(8/9/17),SX,N,8/9/17,1.94,10.4,1,NA,NA,NA,3,5.3,NA,SX,8/15/17,1.94,10.4,1,NA,NA,NA,3,5.3,NA,SX,8/21/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,SX,8/28/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/2/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/11/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVTR2.5 PNA QNA #8,LVTR2.5,NA,NA,8,(8/9/17),V,N,8/9/17,1.67,4.5,1,1.3,NA,NA,NA,NA,NA,V,8/15/17,1.67,4.5,1,1.3,NA,NA,NA,NA,NA,V,8/21/17,1.67,4.8,1,1.5,NA,NA,NA,NA,NA,8,V,8/28/17,1.67,5.5,1,1.5,NA,NA,NA,NA,NA,9/2/17,V,2.16,5.5,1,1.5,NA,NA,NA,NA,NA,9/11/17,V,2.16,6.6,1,1.5,NA,NA,NA,NA,NA,9/18/17,V,2.16,6.6,1,1.5,NA,NA,NA,NA,NA,9/30/17,V,1.82,6.5,1,1.4,NA,NA,NA,NA,NA,NA
LVTR2.5 PNA QNA #9,LVTR2.5,NA,NA,9,(8/9/17),SX,N,8/9/17,1.8,13,4,NA,NA,NA,11,6.4,NA,SX,8/15/17,1.8,13,4,NA,NA,NA,11,6.3,NA,SX,8/21/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,SX,8/28/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/2/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/11/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/30/17,SX,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA
LVTR2.5 PNA QNA #10,LVTR2.5,NA,NA,10,(8/9/17),V,N,8/9/17,1.7,2.5,1,0.7,NA,NA,NA,NA,NA,V,8/15/17,1.7,2.5,1,0.7,NA,NA,NA,NA,NA,V,8/21/17,1.7,2.5,1,0.7,NA,NA,NA,NA,NA,10,V,8/28/17,1.7,2.5,1,0.7,NA,NA,NA,NA,NA,9/2/17,V,1.7,2.5,1,0.7,NA,NA,NA,NA,NA,9/11/17,V,1.7,2.5,1,0.7,NA,NA,NA,NA,NA,9/18/17,V,1.7,2.5,1,0.7,NA,NA,NA,NA,NA,9/30/17,V,1.47,1.3,1,0.9,NA,NA,NA,NA,NA,NA
